29/Sep/2023  09:47 AM
*********************************************************************************
Brocoli: 1  tamaño x:32.00  tamaño Y: 41.61
Brocoli: 2  tamaño x:15.00  tamaño Y: 45.21
Brocoli: 3  tamaño x:44.00  tamaño Y: 174.72
Brocoli: 4  tamaño x:46.00  tamaño Y: 173.05
Brocoli: 5  tamaño x:74.00  tamaño Y: 243.94
Brocoli: 6  tamaño x:86.00  tamaño Y: 238.83
Brocoli: 7  tamaño x:86.00  tamaño Y: 235.04
Brocoli: 8  tamaño x:86.00  tamaño Y: 234.60
Brocoli: 9  tamaño x:85.00  tamaño Y: 237.69
Brocoli: 10  tamaño x:86.00  tamaño Y: 237.02
Brocoli: 11  tamaño x:85.00  tamaño Y: 237.12
Brocoli: 12  tamaño x:85.00  tamaño Y: 239.66
Brocoli: 13  tamaño x:85.00  tamaño Y: 239.20
Brocoli: 14  tamaño x:38.00  tamaño Y: 106.59
Brocoli: 15  tamaño x:87.00  tamaño Y: 240.57
Brocoli: 16  tamaño x:85.00  tamaño Y: 233.00
Brocoli: 17  tamaño x:85.00  tamaño Y: 229.68
Brocoli: 18  tamaño x:86.00  tamaño Y: 225.43
Brocoli: 19  tamaño x:84.00  tamaño Y: 215.90
Brocoli: 20  tamaño x:79.00  tamaño Y: 204.75
Brocoli: 21  tamaño x:84.00  tamaño Y: 216.31
Brocoli: 22  tamaño x:79.00  tamaño Y: 203.41
Brocoli: 23  tamaño x:82.00  tamaño Y: 217.43
Brocoli: 24  tamaño x:83.00  tamaño Y: 219.52
Brocoli: 25  tamaño x:83.00  tamaño Y: 218.54
Brocoli: 26  tamaño x:74.00  tamaño Y: 197.37
Brocoli: 27  tamaño x:70.00  tamaño Y: 186.16
Brocoli: 28  tamaño x:80.00  tamaño Y: 211.24
Brocoli: 29  tamaño x:81.00  tamaño Y: 216.70
Brocoli: 30  tamaño x:83.00  tamaño Y: 223.31
Brocoli: 31  tamaño x:85.00  tamaño Y: 233.31
Brocoli: 32  tamaño x:84.00  tamaño Y: 234.17
Brocoli: 33  tamaño x:79.00  tamaño Y: 235.48
Brocoli: 34  tamaño x:76.00  tamaño Y: 235.48
Brocoli: 35  tamaño x:70.00  tamaño Y: 223.11
Brocoli: 36  tamaño x:72.00  tamaño Y: 233.58
Brocoli: 37  tamaño x:72.00  tamaño Y: 236.64
Brocoli: 38  tamaño x:27.00  tamaño Y: 84.74
Brocoli: 39  tamaño x:8.00  tamaño Y: 8.93
Brocoli: 40  tamaño x:16.00  tamaño Y: 9.10
Brocoli: 41  tamaño x:130.00  tamaño Y: 159.41
Brocoli: 42  tamaño x:21.00  tamaño Y: 51.64
Brocoli: 43  tamaño x:137.00  tamaño Y: 144.40
Brocoli: 44  tamaño x:4.00  tamaño Y: 4.08
Brocoli: 45  tamaño x:5.00  tamaño Y: 4.20
Brocoli: 46  tamaño x:5.00  tamaño Y: 4.55
Brocoli: 47  tamaño x:10.00  tamaño Y: 9.45
Brocoli: 48  tamaño x:13.00  tamaño Y: 11.78
Brocoli: 49  tamaño x:128.00  tamaño Y: 120.75
Brocoli: 50  tamaño x:26.00  tamaño Y: 58.52
Brocoli: 51  tamaño x:43.00  tamaño Y: 109.85
Brocoli: 52  tamaño x:6.00  tamaño Y: 5.02
Brocoli: 53  tamaño x:5.00  tamaño Y: 6.04
Brocoli: 54  tamaño x:6.00  tamaño Y: 5.36
Brocoli: 55  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 56  tamaño x:6.00  tamaño Y: 5.36
Brocoli: 57  tamaño x:126.00  tamaño Y: 101.37
Brocoli: 58  tamaño x:7.00  tamaño Y: 6.91
Brocoli: 59  tamaño x:7.00  tamaño Y: 7.00
Brocoli: 60  tamaño x:7.00  tamaño Y: 6.82
Brocoli: 61  tamaño x:5.00  tamaño Y: 6.11
Brocoli: 62  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 63  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 64  tamaño x:25.00  tamaño Y: 67.05
Brocoli: 65  tamaño x:37.00  tamaño Y: 94.81
Brocoli: 66  tamaño x:33.00  tamaño Y: 92.40
