29/Sep/2023  12:45 PM
*********************************************************************************
Brocoli: 1  tamaño x:13.00  tamaño Y: 28.82
Brocoli: 2  tamaño x:14.00  tamaño Y: 39.33
Brocoli: 3  tamaño x:18.00  tamaño Y: 45.54
Brocoli: 4  tamaño x:146.00  tamaño Y: 497.98
Brocoli: 5  tamaño x:17.00  tamaño Y: 21.91
Brocoli: 6  tamaño x:5.00  tamaño Y: 6.73
Brocoli: 7  tamaño x:8.00  tamaño Y: 7.04
Brocoli: 8  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 9  tamaño x:8.00  tamaño Y: 7.04
Brocoli: 10  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 11  tamaño x:108.00  tamaño Y: 283.05
Brocoli: 12  tamaño x:29.00  tamaño Y: 68.50
Brocoli: 13  tamaño x:87.00  tamaño Y: 178.20
Brocoli: 14  tamaño x:289.00  tamaño Y: 558.36
Brocoli: 15  tamaño x:237.00  tamaño Y: 539.56
Brocoli: 16  tamaño x:139.00  tamaño Y: 581.17
Brocoli: 17  tamaño x:92.00  tamaño Y: 224.40
Brocoli: 18  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 19  tamaño x:207.00  tamaño Y: 524.79
Brocoli: 20  tamaño x:184.00  tamaño Y: 509.54
Brocoli: 21  tamaño x:7.00  tamaño Y: 4.73
Brocoli: 22  tamaño x:7.00  tamaño Y: 4.92
Brocoli: 23  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 24  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 25  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 26  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 27  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 28  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 29  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 30  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 31  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 32  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 33  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 34  tamaño x:7.00  tamaño Y: 6.47
Brocoli: 35  tamaño x:7.00  tamaño Y: 6.17
Brocoli: 36  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 37  tamaño x:42.00  tamaño Y: 32.01
Brocoli: 38  tamaño x:7.00  tamaño Y: 6.29
Brocoli: 39  tamaño x:7.00  tamaño Y: 6.04
Brocoli: 40  tamaño x:7.00  tamaño Y: 5.86
Brocoli: 41  tamaño x:7.00  tamaño Y: 5.28
Brocoli: 42  tamaño x:7.00  tamaño Y: 5.84
Brocoli: 43  tamaño x:237.00  tamaño Y: 501.70
Brocoli: 44  tamaño x:43.00  tamaño Y: 109.51
Brocoli: 45  tamaño x:334.00  tamaño Y: 728.77
Brocoli: 46  tamaño x:41.00  tamaño Y: 100.41
Brocoli: 47  tamaño x:204.00  tamaño Y: 543.40
Brocoli: 48  tamaño x:170.00  tamaño Y: 437.31
Brocoli: 49  tamaño x:57.00  tamaño Y: 168.20
Brocoli: 50  tamaño x:84.00  tamaño Y: 206.04
Brocoli: 51  tamaño x:63.00  tamaño Y: 181.94
Brocoli: 52  tamaño x:39.00  tamaño Y: 100.32
Brocoli: 53  tamaño x:52.00  tamaño Y: 116.97
Brocoli: 54  tamaño x:31.00  tamaño Y: 143.32
Brocoli: 55  tamaño x:28.00  tamaño Y: 131.15
Brocoli: 56  tamaño x:16.00  tamaño Y: 39.81
