02/Oct/2023  10:46 AM
*********************************************************************************
Brocoli: 1  tamaño x:7.00  tamaño Y: 6.93
Brocoli: 2  tamaño x:3.00  tamaño Y: 3.70
Brocoli: 3  tamaño x:5.00  tamaño Y: 3.57
Brocoli: 4  tamaño x:78.00  tamaño Y: 46.78
Brocoli: 5  tamaño x:6.00  tamaño Y: 6.46
Brocoli: 6  tamaño x:6.00  tamaño Y: 6.94
Brocoli: 7  tamaño x:5.00  tamaño Y: 4.76
Brocoli: 8  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 9  tamaño x:20.00  tamaño Y: 19.15
Brocoli: 10  tamaño x:20.00  tamaño Y: 20.63
Brocoli: 11  tamaño x:20.00  tamaño Y: 20.38
Brocoli: 12  tamaño x:20.00  tamaño Y: 20.05
Brocoli: 13  tamaño x:82.00  tamaño Y: 56.43
Brocoli: 14  tamaño x:81.00  tamaño Y: 61.53
Brocoli: 15  tamaño x:78.00  tamaño Y: 59.45
Brocoli: 16  tamaño x:6.00  tamaño Y: 6.39
Brocoli: 17  tamaño x:6.00  tamaño Y: 6.38
Brocoli: 18  tamaño x:6.00  tamaño Y: 5.20
Brocoli: 19  tamaño x:30.00  tamaño Y: 51.17
Brocoli: 20  tamaño x:57.00  tamaño Y: 70.83
Brocoli: 21  tamaño x:32.00  tamaño Y: 55.14
Brocoli: 22  tamaño x:84.00  tamaño Y: 135.30
Brocoli: 23  tamaño x:98.00  tamaño Y: 121.16
Brocoli: 24  tamaño x:68.00  tamaño Y: 122.23
Brocoli: 25  tamaño x:107.00  tamaño Y: 168.60
Brocoli: 26  tamaño x:88.00  tamaño Y: 142.31
Brocoli: 27  tamaño x:83.00  tamaño Y: 106.91
Brocoli: 28  tamaño x:54.00  tamaño Y: 100.86
Brocoli: 29  tamaño x:36.00  tamaño Y: 58.48
Brocoli: 30  tamaño x:35.00  tamaño Y: 60.72
Brocoli: 31  tamaño x:48.00  tamaño Y: 55.22
Brocoli: 32  tamaño x:108.00  tamaño Y: 116.75
Brocoli: 33  tamaño x:87.00  tamaño Y: 107.18
Brocoli: 34  tamaño x:92.00  tamaño Y: 112.61
Brocoli: 35  tamaño x:109.00  tamaño Y: 117.18
Brocoli: 36  tamaño x:72.00  tamaño Y: 116.22
