02/Oct/2023  12:29 PM
*********************************************************************************
Brocoli: 1  tamaño x:238.00  tamaño Y: 410.97
Brocoli: 2  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 3  tamaño x:61.00  tamaño Y: 116.60
Brocoli: 4  tamaño x:21.00  tamaño Y: 41.73
Brocoli: 5  tamaño x:76.00  tamaño Y: 163.66
Brocoli: 6  tamaño x:87.00  tamaño Y: 255.64
Brocoli: 7  tamaño x:98.00  tamaño Y: 265.86
Brocoli: 8  tamaño x:120.00  tamaño Y: 134.21
Brocoli: 9  tamaño x:91.00  tamaño Y: 148.00
Brocoli: 10  tamaño x:190.00  tamaño Y: 228.24
Brocoli: 11  tamaño x:60.00  tamaño Y: 134.71
Brocoli: 12  tamaño x:61.00  tamaño Y: 142.50
Brocoli: 13  tamaño x:38.00  tamaño Y: 96.20
Brocoli: 14  tamaño x:37.00  tamaño Y: 80.11
Brocoli: 15  tamaño x:71.00  tamaño Y: 191.90
Brocoli: 16  tamaño x:91.00  tamaño Y: 207.75
Brocoli: 17  tamaño x:220.00  tamaño Y: 222.87
Brocoli: 18  tamaño x:102.00  tamaño Y: 103.48
Brocoli: 19  tamaño x:54.00  tamaño Y: 51.48
Brocoli: 20  tamaño x:9.00  tamaño Y: 12.54
Brocoli: 21  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 22  tamaño x:10.00  tamaño Y: 13.59
Brocoli: 23  tamaño x:153.00  tamaño Y: 217.00
Brocoli: 24  tamaño x:49.00  tamaño Y: 77.27
Brocoli: 25  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 26  tamaño x:6.00  tamaño Y: 6.64
Brocoli: 27  tamaño x:6.00  tamaño Y: 6.56
Brocoli: 28  tamaño x:8.00  tamaño Y: 7.18
Brocoli: 29  tamaño x:8.00  tamaño Y: 6.93
Brocoli: 30  tamaño x:8.00  tamaño Y: 7.10
Brocoli: 31  tamaño x:2.00  tamaño Y: 7.68
Brocoli: 32  tamaño x:19.00  tamaño Y: 20.43
Brocoli: 33  tamaño x:117.00  tamaño Y: 165.64
Brocoli: 34  tamaño x:137.00  tamaño Y: 174.45
Brocoli: 35  tamaño x:215.00  tamaño Y: 254.24
Brocoli: 36  tamaño x:108.00  tamaño Y: 114.72
Brocoli: 37  tamaño x:106.00  tamaño Y: 141.35
Brocoli: 38  tamaño x:216.00  tamaño Y: 281.76
Brocoli: 39  tamaño x:157.00  tamaño Y: 209.90
Brocoli: 40  tamaño x:213.00  tamaño Y: 302.72
Brocoli: 41  tamaño x:49.00  tamaño Y: 87.84
Brocoli: 42  tamaño x:27.00  tamaño Y: 57.09
Brocoli: 43  tamaño x:23.00  tamaño Y: 53.24
Brocoli: 44  tamaño x:110.00  tamaño Y: 187.98
Brocoli: 45  tamaño x:96.00  tamaño Y: 152.78
Brocoli: 46  tamaño x:93.00  tamaño Y: 111.80
Brocoli: 47  tamaño x:55.00  tamaño Y: 104.17
Brocoli: 48  tamaño x:48.00  tamaño Y: 89.76
Brocoli: 49  tamaño x:70.00  tamaño Y: 110.04
Brocoli: 50  tamaño x:22.00  tamaño Y: 40.31
Brocoli: 51  tamaño x:24.00  tamaño Y: 43.23
Brocoli: 52  tamaño x:23.00  tamaño Y: 45.60
Brocoli: 53  tamaño x:29.00  tamaño Y: 47.52
Brocoli: 54  tamaño x:30.00  tamaño Y: 49.58
Brocoli: 55  tamaño x:41.00  tamaño Y: 37.50
Brocoli: 56  tamaño x:55.00  tamaño Y: 52.65
Brocoli: 57  tamaño x:6.00  tamaño Y: 13.92
Brocoli: 58  tamaño x:22.00  tamaño Y: 67.09
Brocoli: 59  tamaño x:21.00  tamaño Y: 72.45
Brocoli: 60  tamaño x:37.00  tamaño Y: 127.26
Brocoli: 61  tamaño x:0.00  tamaño Y: 0.00
Brocoli: 62  tamaño x:0.00  tamaño Y: 0.00
